20:53:39.501 [AWT-EventQueue-0] INFO  c.b.actions.EnableBrowserStack - Setting enable browserstack run update
20:53:39.506 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
18:38:03.587 [ApplicationImpl pooled thread 3] INFO  c.b.l.BrowserStackRunExtension - testng
18:38:03.588 [ApplicationImpl pooled thread 3] INFO  com.browserstack.utils.Helpers - null
18:38:03.589 [ApplicationImpl pooled thread 3] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:43:36.329 [ApplicationImpl pooled thread 3] INFO  c.b.l.BrowserStackRunExtension - application
18:43:36.330 [ApplicationImpl pooled thread 3] INFO  com.browserstack.utils.Helpers - null
18:44:10.011 [ApplicationImpl pooled thread 3] INFO  c.b.l.BrowserStackRunExtension - application
18:44:10.011 [ApplicationImpl pooled thread 3] INFO  com.browserstack.utils.Helpers - null
18:44:28.701 [ApplicationImpl pooled thread 11] INFO  c.b.l.BrowserStackRunExtension - application
18:44:28.701 [ApplicationImpl pooled thread 11] INFO  com.browserstack.utils.Helpers - null
18:44:56.403 [ApplicationImpl pooled thread 11] INFO  c.b.l.BrowserStackRunExtension - application
18:44:56.403 [ApplicationImpl pooled thread 11] INFO  com.browserstack.utils.Helpers - null
18:50:11.373 [ApplicationImpl pooled thread 17] INFO  c.b.l.BrowserStackRunExtension - testng
18:50:11.373 [ApplicationImpl pooled thread 17] INFO  com.browserstack.utils.Helpers - null
18:50:11.374 [ApplicationImpl pooled thread 17] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:50:52.000 [ApplicationImpl pooled thread 17] INFO  c.b.l.BrowserStackRunExtension - testng
18:50:52.000 [ApplicationImpl pooled thread 17] INFO  com.browserstack.utils.Helpers - null
18:50:52.001 [ApplicationImpl pooled thread 17] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:52:18.832 [ApplicationImpl pooled thread 19] INFO  c.b.l.BrowserStackRunExtension - testng
18:52:18.832 [ApplicationImpl pooled thread 19] INFO  com.browserstack.utils.Helpers - null
18:52:18.832 [ApplicationImpl pooled thread 19] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:54:13.244 [ApplicationImpl pooled thread 11] INFO  c.b.l.BrowserStackRunExtension - testng
18:54:13.244 [ApplicationImpl pooled thread 11] INFO  com.browserstack.utils.Helpers - null
18:54:13.244 [ApplicationImpl pooled thread 11] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:01:27.136 [ApplicationImpl pooled thread 11] INFO  c.b.l.BrowserStackRunExtension - testng
19:01:27.136 [ApplicationImpl pooled thread 11] INFO  com.browserstack.utils.Helpers - null
19:01:27.136 [ApplicationImpl pooled thread 11] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
